sample_id,sigma0,ramp,omega,cyc_frac,Y0,a_crit,A_rate,D_c,m_sub,noise_sigma,seed,a0,h,tf,t_fp,a_fp,finite
0,0.6927139731562356,0.0,0.0,0.0,1.06451706416872,2.0,1.7177879206749127,0.12269415783721946,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.06384342557342872,1
1,0.7229213436608821,0.0,0.0,0.0,0.822310753781778,2.0,1.5613701237778999,0.1218157273370053,0.5,0.2,1111,1e-06,0.2,6.5,1.0,0.08916419677684695,1
2,0.8024355317842458,0.0,0.0,0.0,1.0289503705809966,2.0,1.422356832713771,0.1259070945701227,0.5,0.2,1111,1e-06,0.2,6.5,4.800000000000002,0.08819112377959556,1
3,0.8962496582492807,0.0,0.0,0.0,1.086963244221279,2.0,1.5925620794088269,0.11626191545572057,0.5,0.2,1111,1e-06,0.2,6.5,3.0000000000000004,0.11601658281533343,1
4,0.8091326891384567,0.0,0.0,0.0,0.9477785248053585,2.0,1.589216407625173,0.1155872689165503,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.09625962613834133,1
5,0.8252619494089167,0.0,0.0,0.0,0.8780470504043707,2.0,1.470684092632137,0.12040586059562815,0.5,0.2,1111,1e-06,0.2,6.5,3.400000000000001,0.09046276734297944,1
6,0.8584525887118821,0.0,0.0,0.0,0.9672155625515585,2.0,1.7368148772939278,0.12147675738629489,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.08599915406329571,1
7,0.7168773843022959,0.0,0.0,0.0,0.9938622453625019,2.0,1.328893449936582,0.11865577785785647,0.5,0.2,1111,1e-06,0.2,6.5,0.2,0.07222958025855326,1
8,0.659305815427088,0.0,0.0,0.0,0.9611329638604732,2.0,1.5787513961909816,0.12312258031440149,0.5,0.2,1111,1e-06,0.2,6.5,0.8,0.06623267809568611,1
9,0.7594613203155222,0.0,0.0,0.0,1.0653812919544345,2.0,1.5648577013610203,0.13123760315494698,0.5,0.2,1111,1e-06,0.2,6.5,1.7999999999999998,0.08332679006036127,1
10,0.6679466784506949,0.0,0.0,0.0,0.8709774594801722,2.0,1.1370639643104035,0.11723894801640153,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.06253246796164805,1
11,0.6006036140558648,0.0,0.0,0.0,0.9425382327686357,2.0,1.3143728981279426,0.12468425662841913,0.5,0.2,1111,1e-06,0.2,6.5,1.2,0.061399080256205364,1
12,0.6457815942633512,0.0,0.0,0.0,1.024792299093652,2.0,1.4151625943714745,0.1244941821730171,0.5,0.2,1111,1e-06,0.2,6.5,5.400000000000002,0.09812946542623331,1
13,0.6664641800061174,0.0,0.0,0.0,0.8434084591030195,2.0,1.2914838661527306,0.1250545981346936,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.027835482292088556,1
14,0.6412393604970863,0.0,0.0,0.0,1.1450890923928545,2.0,1.6538868066948564,0.11632985325484263,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.07134927067211223,1
15,0.6330757816827646,0.0,0.0,0.0,0.8670428277877142,2.0,1.6779265536174541,0.12502488470799583,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.08214384211901256,1
16,0.7927233953277015,0.0,0.0,0.0,1.096329981361022,2.0,1.4155544390133332,0.12383875685774602,0.5,0.2,1111,1e-06,0.2,6.5,5.600000000000002,0.10143372514162,1
17,0.6519430008580963,0.0,0.0,0.0,1.0562620271754188,2.0,1.4254294132586447,0.11920791363667321,0.5,0.2,1111,1e-06,0.2,6.5,0.8,0.08794070370323076,1
18,0.7582171592665359,0.0,0.0,0.0,0.9998816334338533,2.0,1.4504989956675778,0.124669400298006,0.5,0.2,1111,1e-06,0.2,6.5,3.600000000000001,0.10941629777991214,1
19,0.6736015323714042,0.0,0.0,0.0,0.9671572366353699,2.0,1.6858659635249695,0.11712189119637668,0.5,0.2,1111,1e-06,0.2,6.5,0.6000000000000001,0.09853517648902227,1
